,acc,buy,drt,pre,pv,rec,sell
0,0.47863247863247865,5,0.1,0.8,100351.6389470404,0.0625,112
1,0.452991452991453,0,0.11,0.0,100000.0,0.0,117
2,0.39316239316239315,7,0.12,0.0,81364.86282490892,0.0,110
3,0.39316239316239315,87,0.13,0.4482758620689655,104947.12851898369,0.6290322580645161,30
4,0.4444444444444444,4,0.14,0.25,98153.10548415607,0.015873015873015872,113
5,0.5299145299145299,117,0.15,0.5299145299145299,103154.8625313676,1.0,0
6,0.358974358974359,33,0.16,0.3333333333333333,83892.08316374448,0.171875,84
7,0.452991452991453,0,0.17,0.0,100000.0,0.0,117
8,0.41025641025641024,7,0.18,0.14285714285714285,97677.35356835055,0.015625,110
9,0.452991452991453,0,0.19,0.0,100000.0,0.0,117
10,0.47863247863247865,5,0.2,0.8,101091.2573960467,0.0625,112
11,0.452991452991453,0,0.21,0.0,100000.0,0.0,117
12,0.452991452991453,0,0.22,0.0,100000.0,0.0,117
13,0.4700854700854701,2,0.23,1.0,100371.97127942122,0.03125,115
14,0.4700854700854701,36,0.24,0.5277777777777778,101894.29510932909,0.296875,81
15,0.46153846153846156,13,0.25,0.5384615384615384,100077.38893518952,0.109375,104
16,0.46153846153846156,1,0.26,1.0,99871.77146191454,0.015625,116
17,0.5299145299145299,101,0.27,0.5346534653465347,103451.61853961254,0.8709677419354839,16
18,0.5299145299145299,117,0.28,0.5299145299145299,103293.76361850236,1.0,0
19,0.5726495726495726,63,0.29,0.6031746031746031,105768.95502333892,0.6031746031746031,54
20,0.5042735042735043,106,0.3,0.5188679245283019,97657.17117659016,0.8870967741935484,11
